pid,event_type,prompt,run,response_number,response,corpus_response,response_onset_time_audacity_sec,response_onset_time_fMRI_sec,response_onset_time_task_relative_sec,subjSwitch_semantic,subjSwitch_phonetic,RT,frequency_ln,similarity_semantic_context,similarity_semantic_complete,phonetic_similarity,objSwitch_simDropContext,objSwitch_simDropComplete,objSwitch_chain,deltaSim_f1r0_context,subj_delta_sim_intersection,Troyer_fluid_switch,Troyer_static_switch,all_categories,running_categories_static
50001,category,foods,2,1,chips,chips,323.4,314.76,4.76,2,,4.76,9.99392223,0,0,,2,2,,2,2,,,,
50001,category,foods,2,2,rice,rice,326.4,317.76,7.76,0,,3,10.03950336,0.315004428,0.607960141,,0,0,,0,0,,,,
50001,category,foods,2,3,sushi,sushi,328.3,319.66,9.66,0,,1.9,7.483806688,0.24204067,0.466887758,,1,0,,0,0,,,,
50001,category,foods,2,4,noodles,noodles,330.8,322.16,12.16,0,,2.5,8.169336396,0.242787941,0.457528321,,0,1,,0,0,,,,
50001,category,foods,2,5,spinach,spinach,335.1,326.46,16.46,1,,4.3,7.763446389,0.350904457,0.578425502,,0,0,,0,0,,,,
50001,category,foods,2,6,squash,squash,338.1,329.46,19.46,0,,3,8.592300664,0.227147359,0.504403659,,0,0,,1,0,,,,
50001,category,foods,2,7,orange,orange,340.9,332.26,22.26,0,,2.8,11.19445423,0.163573963,0.461357919,,0,0,,1,0,,,,
50001,category,foods,2,8,chicken,chicken,344.6,335.96,25.96,1,,3.7,10.6803093,0.078074775,0.434325606,,1,1,,1,1,,,,
50001,category,foods,2,9,beef,beef,347.6,338.96,28.96,0,,3,9.854717388,0.485733217,0.689504674,,0,0,,0,0,,,,
50001,category,foods,2,10,pork,pork,349.1,340.46,30.46,0,,1.5,9.213634939,0.525138411,0.697735143,,0,0,,0,0,,,,
50001,category,foods,2,11,celery,celery,352.7,344.06,34.06,1,,3.6,7.773594467,0.192945962,0.503179135,,0,0,,1,1,,,,
50001,category,foods,2,12,tomato,tomato,357.6,348.96,38.96,0,,4.9,8.966483779,0.116275479,0.398294492,,1,0,,1,0,,,,
50001,category,foods,2,13,hummus,hummus,361.6,352.96,42.96,0,,4,5.934894196,0.184060722,0.360485091,,0,0,,0,0,,,,
50001,category,foods,2,14,peas,peas,366,357.36,47.36,0,,4.4,8.895081532,0.165057002,0.35863506,,1,1,,0,0,,,,
50001,category,foods,2,15,potatoes,potatoes,370,361.36,51.36,0,,4,9.890655574,0.356906015,0.596456017,,0,0,,0,0,,,,
50001,category,foods,2,16,cheese,cheese,383,374.36,64.36,0,,13,10.49971075,0.289682816,0.614813711,,0,0,,0,0,,,,
50001,category,foods,2,17,beans,beans,388.8,380.16,70.16,0,,5.8,9.95056196,0.266319506,0.600749751,,1,0,,0,0,,,,
50001,category,foods,2,18,salad,salad,391.8,383.16,73.16,0,,3,9.964394487,0.280468997,0.586766384,,0,0,,0,0,,,,
50001,category,foods,2,19,hot_dog,hot_dog,400.7,392.06,82.06,1,,8.9,7.832410927,0.189150262,0.482159115,,1,1,,0,0,,,,
50001,category,foods,2,20,sandwich,sandwich,403.1,394.46,84.46,0,,2.4,10.2592721,0.378854603,0.618895223,,0,0,,0,0,,,,
50001,category,foods,2,21,raspberries,raspberries,406.3,397.66,87.66,1,,3.2,7.318539549,0.157935917,0.496898238,,1,0,,1,1,,,,
50001,category,foods,2,22,banana,banana,408.8,400.16,90.16,0,,2.5,8.893435441,0.22259434,0.494391434,,0,0,,0,0,,,,
50001,category,foods,2,23,blueberries,blueberries,411.1,402.46,92.46,0,,2.3,6.895682698,0.24657935,0.468862224,,0,1,,0,0,,,,
50001,category,foods,2,24,pudding,pudding,413.4,404.76,94.76,0,,2.3,9.209840247,0.230473361,0.4947809,,0,0,,0,0,,,,
50001,category,foods,2,25,bagel,bagel,415.9,407.26,97.26,0,,2.5,7.6989362,0.133468731,0.483158099,,1,1,,0,0,,,,
50001,category,foods,2,26,doughnut,doughnut,419.5,410.86,100.86,0,,3.6,8.111928063,0.588223712,0.714600168,,0,0,,0,0,,,,
50001,category,foods,2,27,eggs,eggs,425.9,417.26,107.26,0,,6.4,10.74694949,0.22024544,0.517012348,,1,0,,1,0,,,,
50001,category,foods,2,28,burrito,burrito,434.9,426.26,116.26,1,,9,6.745236349,0.248402475,0.507664314,,0,0,,0,0,,,,
50001,category,foods,2,29,yogurt,yogurt,441.7,433.06,123.06,1,,6.8,7.711101252,0.281979552,0.504943885,,0,1,,0,0,,,,
50001,category,foods,2,30,pretzels,pretzels,445,436.36,126.36,0,,3.3,7.126890809,0.206084956,0.528568722,,0,0,,0,0,,,,
50001,category,foods,2,31,granola,granola,448.4,439.76,129.76,0,,3.4,6.690842277,0.159704633,0.297993428,,0,1,,0,0,,,,
50001,category,foods,2,32,cookie,cookie,456.8,448.16,138.16,0,,8.4,9.505916207,0.137602505,0.298150221,,1,0,,0,0,,,,
50001,category,foods,2,33,pizza,pizza,495.4,486.76,176.76,1,,38.6,9.951944328,0.257262759,0.555215018,,0,0,,0,0,,,,
50001,category,foods,2,34,egg_roll,egg_roll,499,490.36,180.36,0,,3.6,5.393627546,0.255299529,0.414361545,,0,0,,0,0,,,,
50002,category,foods,3,1,apple,apple,29.45,23.134,3.134,2,,3.134,10.46743679,0,0,,2,2,,2,2,,,,
50002,category,foods,3,2,orange,orange,30.15,23.834,3.834,1,,0.7,11.19445423,0.319844157,0.595290058,,0,0,,0,0,,,,
50002,category,foods,3,3,avocado,avocado,31.3,24.984,4.984,1,,1.15,7.089243155,0.231450877,0.458132538,,0,0,,0,0,,,,
50002,category,foods,3,4,spaghetti,spaghetti,34.25,27.934,7.934,1,,2.95,8.718500048,0.182985046,0.422147741,,1,1,,0,0,,,,
50002,category,foods,3,5,rice,rice,36.1,29.784,9.784,1,,1.85,10.03950336,0.286714889,0.557462322,,0,0,,0,0,,,,
50002,category,foods,3,6,noodles,noodles,38.6,32.284,12.284,1,,2.5,8.169336396,0.560147301,0.733249879,,0,0,,0,0,,,,
50002,category,foods,3,7,chofan,fried_rice,39.4,33.084,13.084,0,,0.8,6.06610809,0.478099237,0.596771615,,0,0,,0,0,,,,
50002,category,foods,3,8,udon,udon,40.5,34.184,14.184,0,,1.1,4.9698133,0.142241177,0.206465787,,0,0,,1,0,,,,
50002,category,foods,3,9,penne,penne,44.15,37.834,17.834,0,,3.65,5.099866428,0.074392526,0.087110532,,1,1,,1,0,,,,
50002,category,foods,3,10,adobo,adobo,46.9,40.584,20.584,1,,2.75,3.871201011,0.131510046,0.112545864,,0,0,,0,0,,,,
50002,category,foods,3,11,karikara,teriyaki_chicken,50.3,43.984,23.984,0,,3.4,2.944438979,0.090161214,0.083890599,,0,0,,0,0,,,,
50002,category,foods,3,12,bulgogi,korean_barbecue,51.85,45.534,25.534,0,,1.55,1.609437912,0.089542911,0.003082397,,0,1,,0,0,,,,
50002,category,foods,3,13,lumpia,egg_roll,54.45,48.134,28.134,0,,2.6,5.393627546,0.020554783,0.156359246,,1,0,,0,0,,,,
50002,category,foods,3,14,tapas,tapas,59.2,52.884,32.884,1,,4.75,5.755742214,0.08887954,0.225711721,,0,0,,0,0,,,,
50002,category,foods,3,15,omelette,omelette,61,54.684,34.684,1,,1.8,7.431891917,0.172235866,0.324909932,,0,0,,0,0,,,,
